2023-10-17 22:09:59, 101, 1026.4762831841044, 152, -0.004611762434244156, 2177.6653012695315
2023-10-17 22:10:00, 102, 1026.683959823667, 143, -0.004376837136223912, 2669.9359345703124
2023-10-17 22:10:01, 103, 1026.765310628723, 159, 0.002350368309766054, 1441.1877272949218
2023-10-17 22:10:02, 104, 1027.5494289276369, 159, -0.0044986000955104825, 1012.5282533569336
2023-10-17 22:10:03, 105, 1027.7253001525426, 157, -0.00041713568568229676, 1664.7646884765627
2023-10-17 22:10:04, 106, 1029.9961189770213, 164, -0.016694454289972783, 11470.203385742188
2023-10-17 22:10:04, 107, 1031.694420797121, 152, -0.0061695328876376155, 2025.6002955322265
2023-10-17 22:10:05, 108, 1038.4812126544591, 157, -0.00011802914738655074, 21753.086191406248
2023-10-17 22:10:07, 110, 1038.8951000303623, 156, -0.00269821834564209, 970.8712585449218
2023-10-17 22:10:08, 111, 1043.6482302431564, 145, -0.012179250687360763, 5942.528678222656
2023-10-17 22:10:14, 115, 1049.0886633953623, 134, -0.021341208258643746, 11223.984151367189
2023-10-17 22:10:15, 117, 1052.1488403138799, 139, 0.0030144353210926054, 4845.755852539062
2023-10-17 22:10:17, 119, 1055.8262611928265, 143, -0.0021182033717632286, 6865.960976562501
2023-10-17 22:11:01, 162, 1056.502579901955, 107, -0.014323119185864925, 6748.542761718751
2023-10-17 22:11:02, 163, 1058.8086262592035, 124, 0.0006660903953015806, 3773.1916796875003
2023-10-17 22:11:42, 205, 1061.0491556121221, 166, -0.004223438993096352, 6479.59844140625
